id,category,subtype,icon,type_key,photo_url
2030a91e-60a8-4a37-8194-1fe03d928b6b,Jalan,Slawi,🆕,jalan-slawi,
222221dc-ff36-49e8-bdcf-77f825dc7d4b,Jalan,Cirebon,🏛️,jalan-museum,
2d1ac83e-635e-4446-9330-253893d52b22,Jalan,Kuningan,🏙️,jalan-kuningan,
009a03a7-fdcb-49ae-a0b3-ed518e031524,Jalan,Tegal,🏙️,jalan-tegal,
a445129f-a691-4623-b561-812e865abc49,Makan,Steak,🥩,makan-steak,
ba78bdca-6287-469b-b2bb-7cd749e874e2,Makan,Empal Gentong,🍲,makan-empalgentong,
fde75f5d-dd01-4f84-b2cd-52315c7469d0,Makan,Nasi Jamblang,🍚,makan-nasijamblang,
4750e254-e359-4f43-b924-cc7da7e87285,Makan,Nasi Goreng,🍛,makan-nasgor,
6fbc997e-8250-4415-8834-7462e04dd87f,Makan,Sushi,🍣,makan-sushi,
9a75f780-f155-49b2-a43e-c9089cbd9d2f,Makan,Pecel Lele,🐟,makan-pecellele,
ffea146f-3524-4416-bb7a-0eb40c9b61f2,Makan,Seafood,🦐,makan-seafood,
6542b80a-8d43-49bb-9b7b-54bc2600dc3f,Makan,Fastfood,🍔,makan-fastfood,
c9de516c-69c6-40b1-a69e-c4cc57154fd0,Nongkrong Santai,Gaming Coffee,🎮☕,nongkrong-gamingcoffee,
4c8dd789-0bd1-4ba1-bfb7-0315b05b39f5,Nongkrong Santai,Kopi / Coffee Shop,☕,nongkrong-kopi,
89c0e14a-96ac-4a6e-b5bd-c471de67ed0b,Nongkrong Santai,Nonton Bioskop,🎬,nongkrong-bioskop,
